"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","External wall construction","Flat roof construction","Glazing type","Partition construction",
"41","0","3-Non optimal","8152.73","862.147021190752","15859.629","HOLLOW BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation AAC Wall",
"42","0","3-Non optimal","11477.93","1596.2004718249","24112.434","CONCRETE BRICK","RRC SLAB","GLAZING-5","Partation Wall-Flyash",
"43","0","3-Non optimal","11377.99","1611.77047721858","23793.341","CONCRETE BRICK","RRC SLAB","GLAZING-1","Partation AAC Wall",
"44","0","3-Non optimal","8843.55","880.318027857405","17976.042","AAC + INSULATION","RCC + FOAM CONCRETE","GLAZING-3","Partation Wall-Flyash",
"45","1","3-Non optimal","7364.62","626.270244607077","13928.171","AAC BRICK","RCC+INSULATION","GLAZING-9","Partation AAC Wall",
"46","1","3-Non optimal","6771.39","539.7185288906","12584.105","AAC + INSULATION","RCC+INSULATION","GLAZING-10","Partation AAC Wall",
"47","1","3-Non optimal","12076.23","1521.66954463336","26123.075","RED BRICK","RCC+ MARABLE","GLAZING-8","Partation Wall-Red Brick",
"48","1","3-Non optimal","10090.55","1328.75552350355","20682.294","CONCRETE BRICK","RCC + FOAM CONCRETE","GLAZING-9","Partation Wall-Flyash",
"49","1","3-Non optimal","10742.32","1367.81557322467","22742.421","FLYASH + INSULATION","RRC SLAB","GLAZING-5","Partation Wall-Flyash",
"50","1","3-Non optimal","7150.53","592.489594894487","13546.809","AAC + INSULATION","RCC+INSULATION","GLAZING-1","Partation AAC Wall",
"51","1","3-Non optimal","7127.67","542.245461834481","13557.268","AAC + INSULATION","RCC+INSULATION","GLAZING-5","Partation Wall-Red Brick",
"52","1","3-Non optimal","8968.55","878.725101245665","18319.412","FLYASH + INSULATION","RCC + FOAM CONCRETE","GLAZING-6","Partation Wall-Flyash",
"53","1","3-Non optimal","8791.97","1130.56276813151","17330.056","CONCRETE BRICK","RCC+INSULATION","GLAZING-3","Partation Wall-Red Brick",
"54","1","3-Non optimal","11072.73","1484.93675302045","23224.974","HOLLOW BRICK","RRC SLAB","GLAZING-3","Partation AAC Wall",
"55","1","3-Non optimal","9890.62","1113.02143820507","20524.234","RED BRICK","RCC + FOAM CONCRETE","GLAZING-9","Partation Wall-Red Brick",
"56","1","3-Non optimal","6855.81","546.652375983132","12774.261","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-2","Partation AAC Wall",
"57","1","3-Non optimal","11598.98","1457.01001520938","25082.806","AAC + INSULATION","RCC+ MARABLE","GLAZING-5","Partation Wall-Red Brick",
"58","1","3-Non optimal","7193.78","585.412135501462","13690.333","FLYASH + INSULATION","RCC+INSULATION","GLAZING-4","Partation AAC Wall",
"59","1","3-Non optimal","9738.84","1098.71959619652","20090.411","RED BRICK","RCC + FOAM CONCRETE","GLAZING-6","Partation AAC Wall",
"60","1","3-Non optimal","8691.17","1108.45937954395","17073.001","CONCRETE BRICK","RCC+INSULATION+TILE","GLAZING-2","Partation Wall-Flyash",
"61","1","3-Non optimal","7146.58","612.793148855132","13553.851","FLYASH + INSULATION","RCC+INSULATION","GLAZING-6","Partation AAC Wall",
"62","1","3-Non optimal","10749.51","1370.34063469101","22523.291","AAC BRICK","RRC SLAB","GLAZING-4","Partation Wall-Red Brick",
"63","1","3-Non optimal","10705.49","1376.20129147319","22396.437","AAC BRICK","RRC SLAB","GLAZING-3","Partation Wall-Flyash",
"64","1","3-Non optimal","8377.91","848.823219166235","16621.882","FLYASH BRICK","RCC+INSULATION","GLAZING-9","Partation Wall-Red Brick",
"65","1","3-Non optimal","7386.68","621.501129643577","14184.493","FLYASH + INSULATION","RCC+INSULATION","GLAZING-1","Partation AAC Wall",
"66","1","3-Non optimal","8036.05","816.255331775352","15742.943","FLYASH BRICK","RCC+INSULATION+TILE","GLAZING-10","Partation Wall-Flyash",
"67","1","3-Non optimal","7094.58","585.945828413186","13476.994","FLYASH + INSULATION","RCC+INSULATION","GLAZING-7","Partation Wall-Flyash",
"68","1","3-Non optimal","8550.08","1092.47127184559","16709.447","CONCRETE BRICK","RCC+INSULATION+TILE","GLAZING-6","Partation Wall-Flyash",
"69","1","3-Non optimal","11240.61","1456.61298399452","23849.097","RED BRICK","RRC SLAB","GLAZING-9","Partation Wall-Red Brick",
"70","1","3-Non optimal","9007.82","897.575812884427","18212.066","AAC BRICK","RCC + FOAM CONCRETE","GLAZING-10","Partation Wall-Flyash",
"71","1","3-Non optimal","9168.79","922.115767571784","18620.343","AAC BRICK","RCC + FOAM CONCRETE","GLAZING-4","Partation Wall-Red Brick",
"72","1","3-Non optimal","8100.58","830.346337649667","15762.252","HOLLOW BRICK","RCC+INSULATION+TILE","GLAZING-8","Partation Wall-Flyash",
"73","1","3-Non optimal","8401.85","910.508203432834","16517.709","HOLLOW BRICK","RCC+INSULATION","GLAZING-2","Partation Wall-Flyash",
"74","1","3-Non optimal","11344.38","1579.73629376521","23760.388","CONCRETE BRICK","RRC SLAB","GLAZING-6","Partation Wall-Flyash",
"75","1","3-Non optimal","8346.55","897.393293334558","16354.796","HOLLOW BRICK","RCC+INSULATION","GLAZING-1","Partation AAC Wall",
"76","1","3-Non optimal","8219.86","887.923997013985","16028.268","HOLLOW BRICK","RCC+INSULATION","GLAZING-3","Partation AAC Wall",
"77","1","3-Non optimal","8492.67","879.210204728562","16917.152","RED BRICK","RCC+INSULATION","GLAZING-8","Partation Wall-Red Brick",
"78","1","3-Non optimal","7212.92","622.888971962721","13527.341","AAC BRICK","RCC+INSULATION","GLAZING-7","Partation AAC Wall",
"79","1","3-Non optimal","8986.8","913.42940673237","18345.084","AAC + INSULATION","RCC + FOAM CONCRETE","GLAZING-1","Partation Wall-Flyash",
"80","1","3-Non optimal","11203.55","1452.6235173348","23746.791","FLYASH BRICK","RRC SLAB","GLAZING-8","Partation Wall-Flyash",
"81","1","3-Non optimal","8979.29","881.006690035233","18352.111","AAC + INSULATION","RCC + FOAM CONCRETE","GLAZING-5","Partation Wall-Flyash",
"82","1","3-Non optimal","8257.69","874.614772337645","16151.712","HOLLOW BRICK","RCC+INSULATION+TILE","GLAZING-1","Partation Wall-Red Brick",
"83","1","3-Non optimal","8665.79","836.012794946589","17501.074","AAC + INSULATION","RCC + FOAM CONCRETE","GLAZING-7","Partation AAC Wall",
"84","1","3-Non optimal","12025.03","1508.32994020554","25990.403","FLYASH BRICK","RCC+ MARABLE","GLAZING-8","Partation Wall-Flyash",
"85","1","3-Non optimal","8850.36","858.115663401995","18017.276","AAC + INSULATION","RCC + FOAM CONCRETE","GLAZING-9","Partation Wall-Flyash",
"86","2","3-Non optimal","7000.49","535.456999789725","13221.743","AAC + INSULATION","RCC+INSULATION","GLAZING-8","Partation Wall-Red Brick",
