"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"47","0","3-Non optimal","11182.86","1470.62797844153","23696.244","40","180","Layout 6x6-10-0.8M","OVERHANG -4 - SDEFINS","60",
"48","0","3-Non optimal","11533.96","1470.14814799139","24669.450","50","0","Layout 4x5-10-1M","OVERHANG -3 SIDEFINS","80",
"49","0","3-Non optimal","11489.16","1452.05749088981","24529.732","10","90","Layout 5x4-10-0.8M","OVERHANG -1","60",
"50","1","3-Non optimal","11428.77","1479.31302498477","24362.491","40","180","Layout 5x5-10-0.8M","OVERHANG -1","60",
"51","1","3-Non optimal","11642.62","1477.09290616318","24960.178","30","0","Layout 5x3-10-0.6M","No shading","60",
"52","1","3-Non optimal","11360","1449.3871088338","24181.983","40","90","Layout 3x5-10-1M","OVERHANG -2","60",
"53","1","3-Non optimal","11698.93","1508.97080646552","25075.516","50","180","Layout 3x5-10-0.8M","No shading","60",
"54","1","3-Non optimal","11557.46","1471.39137414853","24732.442","40","0","Layout 3x5-10-1M","OVERHANG -3 SIDEFINS","70",
"55","1","3-Non optimal","11290.87","1475.58545868131","23985.584","20","180","Layout 5x4-10-0.8M","OVERHANG -2","50",
"56","1","3-Non optimal","11464.22","1481.67253823581","24459.916","25","180","Layout 3x4-10-0.8M","OVERHANG -1","70",
"57","1","3-Non optimal","11340.81","1438.75148384738","24171.657","50","270","Layout 5x3-10-0.8M","OVERHANG -4 - SDEFINS","70",
"58","1","3-Non optimal","11632.17","1478.01035022561","24928.528","50","0","Layout 5x3-10-0.8M","No shading","50",
"59","1","3-Non optimal","11641.37","1473.57327563806","24946.234","40","270","Layout 5x6-10-1M","No shading","80",
"60","1","3-Non optimal","11460.07","1452.14297735659","24446.331","20","90","Layout 6x4-10-0.6M","OVERHANG -1","80",
"61","1","3-Non optimal","11377.53","1439.82939601152","24275.695","20","270","Layout 4x4-10-0.6M","OVERHANG -4 - SDEFINS","80",
"62","1","3-Non optimal","11539.9","1452.2658904353","24668.525","30","90","Layout 3x6-10-0.6M","OVERHANG -1","60",
"63","1","3-Non optimal","11222.73","1471.95070761307","23805.381","25","180","Layout 6x6-10-0.6M","OVERHANG -2","70",
"64","1","3-Non optimal","11344.5","1445.89000223234","24143.980","50","90","Layout 4x5-10-0.8M","OVERHANG -2","80",
"65","1","3-Non optimal","11539.92","1470.85247946944","24684.958","40","0","Layout 4x6-10-0.8M","OVERHANG -3 SIDEFINS","70",
"66","1","3-Non optimal","11520.56","1461.8108899686","24599.146","15","90","Layout 6x6-10-1M","No shading","70",
"67","1","3-Non optimal","11333.34","1443.5105577265","24139.220","10","270","Layout 6x5-10-0.8M","OVERHANG -4 - SDEFINS","70",
"68","1","3-Non optimal","11486.89","1459.07598993695","24553.584","45","0","Layout 3x3-10-0.6M","OVERHANG -2","80",
